Team,Year,POS,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,G-xG,GA-xGA,PTS-xPTS,G/xG,GA/xGA,PTS/xPTS,Shots pg,Possession,Pass,AerialsWon,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Offensive Fouled pg,Rating,NextYear
Manchester City,2020,1,38,27,5,6,83,32,86,77.72,70.86,30.61,22.82,48.05,10.11,20.39,405,150,83.38,5.280000000000001,1.3900000000000006,2.6200000000000045,1.0679361811631498,1.045409996733094,1.0314224034540658,15.8,60.8,89.4,12.8,13.1,8.4,9.5,1.5,5.7,12.8,9.8,7.01,1
Manchester United,2020,2,38,21,11,6,73,44,74,63.17,54.8,41.92,38.87,15.93,10.95,12.46,339,186,65.64,9.829999999999998,2.0799999999999983,8.36,1.1556118410637959,1.049618320610687,1.1273613650213286,13.8,54.5,84.8,14.5,14.5,10.2,11.9,2.0,5.6,10.9,10.5,6.85,1
Liverpool,2020,3,38,20,9,9,68,42,69,72.21,67.64,47.3,41.22,26.43,9.13,18.57,458,144,68.8,-4.209999999999994,-5.299999999999997,0.20000000000000284,0.9416978257859024,0.8879492600422834,1.002906976744186,16.0,59.0,85.7,14.3,13.8,9.1,10.4,1.7,5.6,10.7,8.3,6.82,0
Chelsea,2020,4,38,19,10,9,58,36,67,68.66,61.04,30.9,27.86,33.18,9.19,16.5,337,179,77.41,-10.659999999999997,5.100000000000001,-10.409999999999997,0.8447422079813575,1.1650485436893203,0.8655212504844336,14.6,58.6,87.0,15.2,16.1,10.1,11.4,2.1,5.5,9.4,9.6,6.83,1
Leicester,2020,5,38,20,6,12,68,50,66,58.8,49.67,47.07,44.02,5.65,9.99,13.5,237,209,59.75,9.200000000000003,2.93,6.25,1.1564625850340136,1.0622477161674102,1.104602510460251,12.8,53.2,82.1,16.2,17.9,11.5,10.9,1.9,4.9,9.4,11.1,6.8,1
West Ham,2020,6,38,19,8,11,62,47,65,60.34,57.13,49.86,46.06,11.08,16.45,11.08,172,286,59.18,1.6599999999999966,-2.8599999999999994,5.82,1.0275107722903547,0.9426393902928198,1.098344035147009,12.3,44.5,77.8,19.9,13.5,11.5,9.9,1.9,4.3,7.8,9.3,6.77,1
Tottenham,2020,7,38,18,8,12,68,45,62,56.68,52.87,52.55,44.94,7.93,11.27,11.52,193,293,53.98,11.32,-7.549999999999998,8.020000000000003,1.1997177134791814,0.8563273073263559,1.148573545757688,11.7,51.3,81.8,16.4,16.7,9.0,11.6,1.2,4.6,10.6,12.3,6.81,0
Arsenal,2020,8,38,18,7,13,55,39,61,52.25,47.68,43.23,40.95,6.73,13.64,16.28,292,203,58.72,2.75,-4.229999999999997,2.2800000000000007,1.0526315789473684,0.9021512838306732,1.0388283378746594,12.1,52.7,85.0,13.5,12.0,9.2,9.1,1.6,4.0,7.8,10.5,6.69,1
Leeds,2020,9,38,18,5,15,62,54,59,59.26,56.21,63.02,56.01,0.2,7.17,12.27,305,283,51.81,2.740000000000002,-9.020000000000003,7.189999999999998,1.0462369220384746,0.8568708346556648,1.138776298011967,13.7,55.1,80.8,14.5,19.5,10.4,11.4,2.0,5.2,8.4,10.8,6.77,1
Everton,2020,10,38,17,8,13,47,48,59,49.24,45.42,50.16,47.12,-1.7,14.21,11.82,207,270,50.72,-2.240000000000002,-2.1599999999999966,8.280000000000001,0.9545085296506904,0.9569377990430624,1.163249211356467,10.5,47.3,81.4,17.7,16.8,10.3,10.2,1.7,3.9,9.5,10.3,6.73,1
